"","plq","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"28","43-91",0.514325646401118,0.547169811320755,0.547169811320755,0.611320754716981,0.811320754716981,0.283018867924528,0.0211392301866012,27
"29","43-1",0.938917233560091,0.997732426303855,1.06575963718821,1.06575963718821,1.17913832199546,0.476190476190476,0.0303213094657511,32
"30","43-103",0.843670801653995,0.90702947845805,0.929705215419501,1.02040816326531,1.11111111111111,0.226757369614513,0.0381002062301027,34
"31","43-110",0.86899275839368,0.929705215419501,0.952380952380953,0.997732426303855,1.02040816326531,0.408163265306123,0.0266936739727113,31
"32","43-116",0.878474846728815,0.929705215419501,0.952380952380953,1.04308390022676,1.06575963718821,0.408163265306123,0.0314127894671455,27
"33","43-118",0.812837955695099,0.884353741496599,0.884353741496599,0.997732426303855,1.02040816326531,0.272108843537415,0.0314735851102135,39
"34","43-12",0.942403628117914,0.975056689342404,1.02040816326531,1.12471655328798,1.15646258503401,0.249433106575964,0.0382156252053361,25
"35","43-135",0.892356942777111,0.918367346938776,0.90702947845805,1.02040816326531,1.11111111111111,0.36281179138322,0.0247046515463566,34
"36","43-144",0.820861678004535,0.884353741496599,0.884353741496599,0.988662131519275,1.06575963718821,0.204081632653061,0.0367850263972639,35
"37","43-15",0.793650793650794,0.839002267573696,0.839002267573696,0.997732426303855,1.24716553287982,0.204081632653061,0.0424074897644585,29
"38","43-152",0.835978835978836,0.873015873015873,0.929705215419501,1.02040816326531,1.04308390022676,0.249433106575964,0.0320449814796025,30
"39","43-16",0.789871504157219,0.884353741496599,0.975056689342404,0.975056689342404,1.08843537414966,0.18140589569161,0.0505327339288848,24
"40","43-17",0.833333333333333,0.963718820861678,1.06575963718821,1.06575963718821,1.11111111111111,0.249433106575964,0.0602615975778608,24
"41","43-18",0.790627362055934,0.816326530612245,0.952380952380953,0.977324263038549,1.06575963718821,0.158730158730159,0.0384348737522251,30
"42","43-2",0.829284094590217,0.918367346938776,1.06575963718821,1.06575963718821,1.15646258503401,0.204081632653061,0.0450570016544519,28
"43","43-27",0.869565217391304,0.975056689342404,0.975056689342404,1.04308390022676,1.08843537414966,0.272108843537415,0.0459438226807832,23
"44","43-55",0.739390994493035,0.793650793650794,0.90702947845805,0.90702947845805,0.952380952380953,0.317460317460317,0.0338299296634361,28
"45","43-56",0.874494725426403,0.952380952380953,0.997732426303855,1.14739229024943,1.24716553287982,0.226757369614513,0.0591899365313548,23
"46","43-59",0.830401125967628,0.861678004535148,0.861678004535148,0.997732426303855,1.08843537414966,0.204081632653061,0.0367847777805844,29
"47","43-63",0.696842839699983,0.72562358276644,0.72562358276644,0.884353741496599,0.975056689342404,0.204081632653061,0.0393471198043812,26
"48","43-100",0.772408963585434,0.852941176470588,0.882352941176471,0.966666666666667,0.980392156862745,0.254901960784314,0.0411314809342775,28
"49","43-32",0.706942236354001,0.843137254901961,0.843137254901961,0.96078431372549,1,0.117647058823529,0.0467251138212128,37
"50","43-33",0.791133844842285,0.862745098039216,0.901960784313726,0.92156862745098,0.980392156862745,0.215686274509804,0.0415050697108298,23
"51","43-4",0.566844919786096,0.666666666666667,0.882352941176471,0.882352941176471,0.882352941176471,0.137254901960784,0.0595254095589534,22
"52","43-44",0.674019607843137,0.754901960784314,0.764705882352941,0.862745098039216,0.901960784313726,0.176470588235294,0.0416583078388246,24
"53","43-6",0.745915032679739,0.823529411764706,0.823529411764706,0.901960784313726,0.941176470588235,0.196078431372549,0.0429209872118866,24
"54","43-65",0.620915032679739,0.803921568627451,0.862745098039216,0.882352941176471,0.92156862745098,0.156862745098039,0.0651490543658799,21
