plq,radius.mean,radius.median,radius.getmode,radius.getquant,radius.max,radius.min,radius.st.err,radius.length
NA,NA,NA,NA,NA,NA,NA,NA,NA
4-91,0.797527706734868,0.847826086956522,0.91304347826087,1,1.04347826086957,0.282608695652174,0.0308910518984595,51
4-146,0.65326278659612,0.666666666666667,0.740740740740741,0.759259259259259,0.851851851851852,0.12962962962963,0.0108938858356568,105
4-161,0.647445746111004,0.669291338582677,0.748031496062992,0.866141732283464,1.10236220472441,0.177165354330709,0.0212855994888777,82
4-165,0.401574803149606,0.374015748031496,0.334645669291339,0.692913385826772,0.748031496062992,0.0984251968503937,0.0444841240332764,25
4-52,0.738782051282051,0.78125,1,1,1.04166666666667,0.145833333333333,0.0303302383857137,52
4-54,0.822368421052632,0.875,0.916666666666667,1.00833333333333,1.08333333333333,0.145833333333333,0.0275406871413641,57
4-120,0.310952380952381,0.321428571428571,0.321428571428571,0.375,0.839285714285714,0.107142857142857,0.0107736095390187,75
4-123,0.809920634920635,0.875,0.892857142857143,0.982142857142857,1.03571428571429,0.267857142857143,0.0274194837321495,45
G4-111,0.406324110671937,0.454545454545455,0.472727272727273,0.509090909090909,0.545454545454545,0.109090909090909,0.0259055748546183,23
G4-116,0.743605546995378,0.781818181818182,0.763636363636364,0.927272727272727,1.05454545454545,0.2,0.0257831151701239,59
G4-119,0.737931034482759,0.872727272727273,0.872727272727273,0.981818181818182,1.12727272727273,0.0909090909090909,0.0539187556623131,29
41-02,0.772786458333333,0.822916666666667,0.833333333333333,0.958333333333333,1,0.208333333333333,0.0335113611458839,32
41-04,0.773726851851852,0.854166666666667,0.791666666666667,0.979166666666667,1.08333333333333,0.25,0.0377011139441116,36
41-07,0.622967479674797,0.625,0.708333333333333,0.791666666666667,0.833333333333333,0.25,0.0239512060586454,41
41-20,0.542824074074074,0.604166666666667,0.729166666666667,0.75625,0.791666666666667,0.104166666666667,0.0494349030087013,18
41-36,0.710227272727273,0.708333333333333,0.666666666666667,0.916666666666667,1,0.270833333333333,0.0546492593900637,11
41-69,0.834558823529412,0.916666666666667,0.9375,0.958333333333333,0.958333333333333,0.25,0.0455270020188239,17
41-1,0.82025974025974,0.857142857142857,0.914285714285714,0.942857142857143,1.02857142857143,0.342857142857143,0.0176651668503393,55
41-10,0.660048426150121,0.657142857142857,0.657142857142857,0.771428571428571,0.828571428571429,0.257142857142857,0.0134416222983568,59
41-109,0.824675324675325,0.871428571428571,0.885714285714286,0.971428571428571,1.05714285714286,0.371428571428571,0.0237123117278897,44
41-136,0.314285714285714,0.314285714285714,0.285714285714286,0.362857142857143,0.428571428571429,0.257142857142857,0.00623150064538184,44
41-3,0.791836734693877,0.8,0.714285714285714,0.971428571428571,1.02857142857143,0.257142857142857,0.0233879094390083,49
41-33,0.59956043956044,0.628571428571429,0.657142857142857,0.714285714285714,0.742857142857143,0.257142857142857,0.0146985981092911,65
41-57,0.725210084033613,0.757142857142857,0.8,0.828571428571429,0.885714285714286,0.257142857142857,0.016196432340167,68
41-23,0.708096590909091,0.738636363636364,0.727272727272727,0.954545454545455,1.04545454545455,0.272727272727273,0.0409989717933044,32
41-62,0.824300699300699,0.818181818181818,0.795454545454545,0.943181818181818,1.02272727272727,0.545454545454545,0.0214892783741296,26
43-104,0.796740994854202,0.849056603773585,0.849056603773585,0.918867924528302,0.962264150943396,0.188679245283019,0.0225634535856499,44
43-125,0.775804661487236,0.811320754716981,0.754716981132076,0.886792452830189,0.962264150943396,0.169811320754717,0.0267991347822271,34
43-13,0.806258628624022,0.849056603773585,0.867924528301887,0.943396226415094,0.981132075471698,0.320754716981132,0.0218831462107475,41
43-164,0.856603773584906,0.886792452830189,0.867924528301887,0.954716981132075,1,0.528301886792453,0.0238910942304687,25
43-165,0.713352685050798,0.792452830188679,0.981132075471698,0.981132075471698,1.0377358490566,0.169811320754717,0.0523094722702874,26
43-19,0.841981132075472,0.905660377358491,0.905660377358491,0.956603773584906,0.981132075471698,0.283018867924528,0.0300441856652195,24
43-21,0.76968119713728,0.811320754716981,0.905660377358491,0.962264150943396,1,0.283018867924528,0.0345375178777883,29
43-23,0.774123989218329,0.830188679245283,0.886792452830189,0.905660377358491,0.981132075471698,0.226415094339623,0.0322515959788002,35
43-29,0.777358490566038,0.867924528301887,0.867924528301887,0.935849056603774,0.962264150943396,0.207547169811321,0.0344259521841446,35
43-31,0.806469002695418,0.849056603773585,0.886792452830189,0.943396226415094,0.962264150943396,0.188679245283019,0.0270655697338486,35
43-38,0.744132535664979,0.811320754716981,0.849056603773585,0.924528301886792,0.981132075471698,0.207547169811321,0.0312892515378887,41
43-42,0.769811320754717,0.830188679245283,0.830188679245283,0.935849056603774,0.981132075471698,0.207547169811321,0.0303724389793708,35
43-47,0.834290401968827,0.905660377358491,0.867924528301887,0.943396226415094,0.962264150943396,0.169811320754717,0.0444942825407761,23
43-5,0.766792452830189,0.792452830188679,0.849056603773585,0.879245283018868,0.924528301886792,0.264150943396226,0.0274262877156504,25
43-52,0.837683729867018,0.886792452830189,0.924528301886792,1.0196380438968,1.15646258503401,0.226415094339623,0.023885731883813,66
43-54,0.701543739279588,0.754716981132076,0.773584905660377,0.864150943396226,0.924528301886792,0.226415094339623,0.0315085282291104,33
43-62,0.814339622641509,0.830188679245283,0.867924528301887,0.867924528301887,0.867924528301887,0.660377358490566,0.0120163647759175,25
43-68,0.763425253991292,0.830188679245283,0.867924528301887,0.905660377358491,0.924528301886792,0.207547169811321,0.0335114535608983,26
43-7,0.803513337670787,0.849056603773585,0.867924528301887,0.909433962264151,0.924528301886792,0.283018867924528,0.0251003461384968,29
43-74,0.728692257644763,0.811320754716981,0.830188679245283,0.890566037735849,0.924528301886792,0.188679245283019,0.0367995874062724,29
43-75,0.810062893081761,0.839622641509434,0.849056603773585,0.909433962264151,0.962264150943396,0.584905660377358,0.0175868111824528,30
43-78,0.719583604424203,0.754716981132076,0.792452830188679,0.816981132075472,1,0.283018867924528,0.0165476776502058,58
43-8,0.76078167115903,0.820754716981132,0.867924528301887,0.935849056603774,1.0377358490566,0.30188679245283,0.0360909016209066,28
43-81,0.640441438234247,0.641509433962264,0.641509433962264,0.754716981132076,0.849056603773585,0.264150943396226,0.0155620029303438,53
43-84,0.709493860437257,0.735849056603774,0.811320754716981,0.864150943396227,0.924528301886792,0.169811320754717,0.0201956754043679,63
43-86,0.913207547169811,0.981132075471698,0.981132075471698,1.05660377358491,1.09433962264151,0.39622641509434,0.0353993642250825,25
43-9,0.774957118353345,0.811320754716981,0.886792452830189,0.89811320754717,1,0.207547169811321,0.0226597905225836,55
43-91,0.514325646401118,0.547169811320755,0.547169811320755,0.611320754716981,0.811320754716981,0.283018867924528,0.0211392301866012,27
43-1,0.938917233560091,0.997732426303855,1.06575963718821,1.06575963718821,1.17913832199546,0.476190476190476,0.0303213094657511,32
43-103,0.843670801653995,0.90702947845805,0.929705215419501,1.02040816326531,1.11111111111111,0.226757369614513,0.0381002062301027,34
43-110,0.86899275839368,0.929705215419501,0.952380952380953,0.997732426303855,1.02040816326531,0.408163265306123,0.0266936739727113,31
43-116,0.878474846728815,0.929705215419501,0.952380952380953,1.04308390022676,1.06575963718821,0.408163265306123,0.0314127894671455,27
43-118,0.812837955695099,0.884353741496599,0.884353741496599,0.997732426303855,1.02040816326531,0.272108843537415,0.0314735851102135,39
43-12,0.942403628117914,0.975056689342404,1.02040816326531,1.12471655328798,1.15646258503401,0.249433106575964,0.0382156252053361,25
43-135,0.892356942777111,0.918367346938776,0.90702947845805,1.02040816326531,1.11111111111111,0.36281179138322,0.0247046515463566,34
43-144,0.820861678004535,0.884353741496599,0.884353741496599,0.988662131519275,1.06575963718821,0.204081632653061,0.0367850263972639,35
43-15,0.793650793650794,0.839002267573696,0.839002267573696,0.997732426303855,1.24716553287982,0.204081632653061,0.0424074897644585,29
43-152,0.835978835978836,0.873015873015873,0.929705215419501,1.02040816326531,1.04308390022676,0.249433106575964,0.0320449814796025,30
43-16,0.789871504157219,0.884353741496599,0.975056689342404,0.975056689342404,1.08843537414966,0.18140589569161,0.0505327339288848,24
43-17,0.833333333333333,0.963718820861678,1.06575963718821,1.06575963718821,1.11111111111111,0.249433106575964,0.0602615975778608,24
43-18,0.790627362055934,0.816326530612245,0.952380952380953,0.977324263038549,1.06575963718821,0.158730158730159,0.0384348737522251,30
43-2,0.829284094590217,0.918367346938776,1.06575963718821,1.06575963718821,1.15646258503401,0.204081632653061,0.0450570016544519,28
43-27,0.869565217391304,0.975056689342404,0.975056689342404,1.04308390022676,1.08843537414966,0.272108843537415,0.0459438226807832,23
43-55,0.739390994493035,0.793650793650794,0.90702947845805,0.90702947845805,0.952380952380953,0.317460317460317,0.0338299296634361,28
43-56,0.874494725426403,0.952380952380953,0.997732426303855,1.14739229024943,1.24716553287982,0.226757369614513,0.0591899365313548,23
43-59,0.830401125967628,0.861678004535148,0.861678004535148,0.997732426303855,1.08843537414966,0.204081632653061,0.0367847777805844,29
43-63,0.696842839699983,0.72562358276644,0.72562358276644,0.884353741496599,0.975056689342404,0.204081632653061,0.0393471198043812,26
43-100,0.772408963585434,0.852941176470588,0.882352941176471,0.966666666666667,0.980392156862745,0.254901960784314,0.0411314809342775,28
43-32,0.706942236354001,0.843137254901961,0.843137254901961,0.96078431372549,1,0.117647058823529,0.0467251138212128,37
43-33,0.791133844842285,0.862745098039216,0.901960784313726,0.92156862745098,0.980392156862745,0.215686274509804,0.0415050697108298,23
43-4,0.566844919786096,0.666666666666667,0.882352941176471,0.882352941176471,0.882352941176471,0.137254901960784,0.0595254095589534,22
43-44,0.674019607843137,0.754901960784314,0.764705882352941,0.862745098039216,0.901960784313726,0.176470588235294,0.0416583078388246,24
43-6,0.745915032679739,0.823529411764706,0.823529411764706,0.901960784313726,0.941176470588235,0.196078431372549,0.0429209872118866,24
43-65,0.620915032679739,0.803921568627451,0.862745098039216,0.882352941176471,0.92156862745098,0.156862745098039,0.0651490543658799,21
45-1,0.747474747474748,0.790909090909091,0.781818181818182,0.914545454545455,0.927272727272727,0.2,0.0445577338596873,18
45-102,0.943030303030303,0.981818181818182,0.963636363636364,1.06545454545455,1.38181818181818,0.454545454545455,0.0232625666525151,45
45-104,0.869818181818182,0.945454545454545,1.03636363636364,1.04727272727273,1.09090909090909,0.254545454545455,0.0442342873380881,25
45-106,0.882154882154882,0.909090909090909,0.909090909090909,1.00727272727273,1.09090909090909,0.581818181818182,0.0234599912638907,27
45-126,0.631060606060606,0.636363636363636,0.654545454545455,0.750909090909091,0.981818181818182,0.236363636363636,0.0172722041161851,48
45-4,0.936363636363636,0.972727272727273,0.981818181818182,1.05272727272727,1.07272727272727,0.618181818181818,0.0229407525941045,22
45-43,0.935227272727273,0.981818181818182,1.03636363636364,1.07272727272727,1.25454545454545,0.254545454545455,0.0325424225311548,32
45-5,0.824589439525751,0.882917466410749,0.940499040307102,1.01818181818182,1.17082533589251,0.249520153550864,0.0234559145322886,77
45-64,0.761128526645768,0.781818181818182,0.781818181818182,0.821818181818182,0.890909090909091,0.272727272727273,0.0211181190572169,29
45-82,0.834648370497427,0.890909090909091,0.945454545454545,1.01090909090909,1.18181818181818,0.236363636363636,0.027729664483172,53
45-93,0.943939393939394,0.963636363636364,0.963636363636364,1.07272727272727,1.4,0.290909090909091,0.0244080816476763,48
45-12,0.871665894499967,0.940499040307102,0.959692898272553,1.04030710172745,1.26679462571977,0.249520153550864,0.0404201482571966,29
45-13,0.874691527282698,0.921305182341651,0.959692898272553,1.04222648752399,1.13243761996161,0.115163147792706,0.0363458386911781,28
45-135,0.781760647403642,0.806142034548944,0.9021113243762,0.934740882917466,1.03646833013436,0.230326295585413,0.0182963124909203,74
45-138,0.787440326787736,0.806142034548944,0.806142034548944,0.971209213051824,1.07485604606526,0.191938579654511,0.0286890444657186,39
45-140,0.749124985886869,0.796545105566219,0.863723608445297,0.921305182341651,0.959692898272553,0.211132437619962,0.0222310513533396,68
45-144,0.849237677905334,0.921305182341651,1.03646833013436,1.03646833013436,1.09404990403071,0.287907869481766,0.0308631201450114,53
45-148,0.768354126679463,0.825335892514395,0.863723608445297,0.919385796545106,0.959692898272553,0.249520153550864,0.0290154431139438,32
45-16,0.835999146939646,0.892514395393474,0.959692898272553,0.990403071017274,1.05566218809981,0.287907869481766,0.0493202216962933,18
45-160,0.800728382302279,0.844529750479846,0.959692898272553,0.959692898272553,1.11324376199616,0.230326295585413,0.0297896941485295,39
45-174,0.720797916095421,0.72936660268714,0.806142034548944,0.882917466410749,1.01727447216891,0.230326295585413,0.0197402090012058,56
45-18,0.927063339731286,1.01727447216891,0.978886756238004,1.15163147792706,1.28598848368522,0.287907869481766,0.0467545918451472,30
45-19,0.770012419555154,0.844529750479846,0.998080614203455,1.03071017274472,1.13243761996161,0.115163147792706,0.0489903516950356,34
45-22,0.374580134357006,0.374280230326296,0.287907869481766,0.518234165067178,1.05566218809981,0.0959692898272553,0.0186824061050542,64
45-25,0.738447567746063,0.786948176583493,0.806142034548944,0.978886756238004,1.49712092130518,0.172744721689059,0.0237854332295403,93
45-27,0.81573896353167,0.9021113243762,0.940499040307102,1.03646833013436,1.09404990403071,0.191938579654511,0.0430921398389205,36
45-34,0.874192985517362,0.921305182341651,0.863723608445297,1.03646833013436,1.05566218809981,0.345489443378119,0.038651189962976,22
45-37,0.933461292386436,0.998080614203455,1.09404990403071,1.09596928982726,1.13243761996161,0.230326295585413,0.0366667346308238,30
45-41,0.823507906041495,0.911708253358925,0.882917466410749,1.05374280230326,1.19001919385797,0.191938579654511,0.0410788868553957,42
45-46,0.869137260691963,0.940499040307102,1.07485604606526,1.09404990403071,1.17082533589251,0.211132437619962,0.0406335023484204,39
45-50,0.861076179760408,0.940499040307102,0.959692898272553,1.021113243762,1.11324376199616,0.172744721689059,0.0368527703841865,29
45-6,0.881616187904616,0.959692898272553,0.978886756238004,1.07485604606526,1.17082533589251,0.230326295585413,0.0267280077566059,59
